TF	M1	M2	M3	M4	M5	M6	M7
E2F8	4.25E-01	0.00E+00	6.85E-02	0.00E+00	2.73E-01	0.00E+00	2.20E-01
E4F1	9.01E-02	0.00E+00	8.75E-02	3.58E-01	0.00E+00	6.64E-02	3.90E-01
EBF1	1.94E-162	0.00E+00	0.00E+00	9.53E-01	0.00E+00	3.08E-02	9.18E-03
EGR1	1.43E-01	1.31E-02	0.00E+00	0.00E+00	3.65E-01	4.75E-01	2.12E-32
EGR2	0.00E+00	0.00E+00	0.00E+00	9.83E-01	0.00E+00	0.00E+00	9.19E-03
ELF1	8.27E-03	7.16E-02	1.97E-01	0.00E+00	2.80E-04	7.17E-01	0.00E+00
ELF2	0.00E+00	0.00E+00	1.60E-01	1.53E-01	4.35E-01	8.86E-31	2.49E-01
ELF3	0.00E+00	5.58E-42	1.31E-120	5.12E-01	4.83E-01	0.00E+00	0.00E+00
ELF4	0.00E+00	2.09E-02	3.11E-160	3.97E-01	3.71E-01	2.05E-01	3.54E-03
ELK1	0.00E+00	0.00E+00	2.58E-01	1.05E-246	3.39E-01	2.26E-50	4.00E-01
ELK3	7.40E-49	8.71E-02	2.82E-01	0.00E+00	2.11E-70	2.74E-01	3.54E-01
ELK4	0.00E+00	1.84E-02	2.39E-02	4.35E-01	4.24E-01	5.42E-02	4.05E-02
EMX1	0.00E+00	9.86E-48	2.29E-01	7.60E-01	0.00E+00	0.00E+00	0.00E+00
EMX2	0.00E+00	8.08E-01	0.00E+00	0.00E+00	0.00E+00	1.87E-01	7.95E-62
EOMES	0.00E+00	0.00E+00	9.93E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
EPAS1	0.00E+00	1.40E-03	0.00E+00	0.00E+00	4.06E-01	5.86E-01	1.77E-26
ESRRA	0.00E+00	1.90E-02	3.28E-01	6.98E-281	2.80E-02	1.06E-01	5.14E-01
ESRRB	0.00E+00	0.00E+00	2.82E-187	5.02E-01	4.89E-01	4.98E-19	5.13E-03
ESRRG	0.00E+00	0.00E+00	3.39E-01	5.89E-257	2.02E-01	6.39E-43	4.55E-01
ETS1	0.00E+00	1.12E-01	2.04E-01	3.41E-01	3.97E-16	3.40E-01	0.00E+00
ETS2	9.12E-02	8.92E-02	3.28E-01	1.97E-214	2.34E-01	2.54E-01	0.00E+00
ETV1	0.00E+00	0.00E+00	7.21E-01	2.82E-177	2.74E-01	3.15E-17	0.00E+00
ETV3	2.85E-01	0.00E+00	2.09E-154	9.18E-217	7.08E-01	8.88E-71	6.93E-11
ETV4	8.68E-02	0.00E+00	3.34E-01	1.07E-247	1.86E-01	1.19E-43	3.90E-01
ETV5	0.00E+00	5.21E-02	2.33E-01	3.31E-02	2.07E-01	1.65E-01	3.07E-01
ETV6	1.24E-02	4.22E-02	7.68E-02	4.91E-01	3.74E-02	2.21E-01	1.15E-01
EWSR1	0.00E+00	0.00E+00	8.53E-01	0.00E+00	1.59E-03	1.35E-03	0.00E+00
FEV	4.20E-01	0.00E+00	0.00E+00	8.51E-201	5.75E-01	3.25E-70	0.00E+00
FLI1	0.00E+00	0.00E+00	0.00E+00	9.93E-01	0.00E+00	0.00E+00	0.00E+00
FOS	2.42E-02	8.64E-01	0.00E+00	0.00E+00	0.00E+00	1.02E-01	0.00E+00
FOSB	2.73E-02	8.84E-01	0.00E+00	0.00E+00	0.00E+00	7.83E-02	0.00E+00
FOSL1	5.98E-01	3.25E-01	0.00E+00	0.00E+00	3.09E-02	4.15E-02	6.59E-04
FOSL2	1.69E-02	8.28E-01	0.00E+00	0.00E+00	0.00E+00	1.47E-01	0.00E+00
FOXA2	5.54E-01	3.20E-64	0.00E+00	0.00E+00	4.42E-01	0.00E+00	0.00E+00
FOXA3	0.00E+00	0.00E+00	9.93E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
FOXC1	0.00E+00	5.71E-01	5.59E-91	0.00E+00	0.00E+00	4.25E-01	0.00E+00
FOXC2	0.00E+00	3.39E-01	3.92E-01	0.00E+00	0.00E+00	2.66E-01	0.00E+00
FOXD1	2.17E-01	3.13E-01	0.00E+00	0.00E+00	2.47E-01	2.20E-01	0.00E+00
FOXD3	0.00E+00	0.00E+00	9.93E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
FOXF2	8.29E-13	8.52E-01	0.00E+00	0.00E+00	0.00E+00	1.37E-01	1.00E-47
FOXG1	4.73E-01	1.15E-53	0.00E+00	0.00E+00	5.22E-01	0.00E+00	0.00E+00
FOXH1	0.00E+00	0.00E+00	5.04E-01	0.00E+00	0.00E+00	0.00E+00	4.80E-01
FOXJ1	0.00E+00	0.00E+00	9.80E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
FOXJ2	0.00E+00	2.74E-01	9.95E-114	0.00E+00	4.65E-01	2.57E-01	0.00E+00
FOXJ3	2.34E-01	1.61E-56	1.40E-01	3.29E-01	2.93E-01	0.00E+00	0.00E+00
FOXK1	3.65E-01	5.13E-01	0.00E+00	0.00E+00	1.18E-01	0.00E+00	8.14E-05
FOXK2	4.68E-01	1.87E-77	3.69E-01	0.00E+00	1.59E-01	0.00E+00	0.00E+00
FOXL1	4.74E-19	5.85E-01	0.00E+00	0.00E+00	0.00E+00	4.11E-01	0.00E+00
FOXL2	8.48E-01	0.00E+00	0.00E+00	0.00E+00	1.48E-01	0.00E+00	0.00E+00
FOXM1	0.00E+00	0.00E+00	9.93E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
FOXO1	1.01E-134	1.47E-02	9.51E-01	0.00E+00	0.00E+00	2.74E-02	0.00E+00
FOXO3	0.00E+00	1.92E-01	2.74E-01	0.00E+00	2.87E-01	2.44E-01	0.00E+00
FOXO4	0.00E+00	0.00E+00	4.25E-01	0.00E+00	0.00E+00	0.00E+00	5.69E-01
FOXP1	5.66E-02	5.87E-01	1.53E-01	0.00E+00	1.79E-02	1.37E-01	4.42E-02
FOXP2	6.70E-01	3.86E-68	9.32E-02	0.00E+00	2.31E-01	0.00E+00	0.00E+00
GABPA	0.00E+00	0.00E+00	2.61E-01	3.78E-01	3.58E-01	5.63E-17	0.00E+00
