TF	M1	M2	M3	M4	M5	M6	M7
NR4A1	0.00E+00	5.51E-58	0.00E+00	9.49E-01	0.00E+00	1.74E-05	1.87E-02
NR4A2	0.00E+00	9.62E-79	1.43E-01	5.55E-01	0.00E+00	6.25E-08	2.91E-01
NR5A2	0.00E+00	0.00E+00	4.19E-01	0.00E+00	0.00E+00	0.00E+00	5.76E-01
NR6A1	0.00E+00	3.16E-93	0.00E+00	0.00E+00	7.04E-01	0.00E+00	4.50E-04
NRF1	0.00E+00	0.00E+00	0.00E+00	1.63E-01	3.96E-01	4.37E-01	1.10E-03
NRL	2.80E-01	1.80E-01	0.00E+00	0.00E+00	2.52E-01	2.86E-01	0.00E+00
ONECUT2	6.20E-01	8.54E-106	8.93E-02	0.00E+00	1.77E-01	0.00E+00	1.05E-01
OSR2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
OTX2	0.00E+00	0.00E+00	9.93E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
PATZ1	0.00E+00	0.00E+00	2.96E-01	4.44E-299	5.55E-02	3.20E-33	6.44E-01
PAX3	4.58E-21	7.81E-01	4.58E-02	0.00E+00	0.00E+00	1.52E-01	1.59E-02
PAX5	0.00E+00	0.00E+00	0.00E+00	9.86E-01	0.00E+00	0.00E+00	0.00E+00
PAX6	7.86E-01	3.98E-107	0.00E+00	0.00E+00	2.01E-01	0.00E+00	2.49E-04
PAX8	7.15E-32	5.70E-02	0.00E+00	4.65E-01	0.00E+00	4.75E-01	3.13E-05
PBX1	0.00E+00	1.35E-01	2.78E-01	0.00E+00	0.00E+00	2.54E-01	3.29E-01
PBX2	0.00E+00	0.00E+00	4.10E-01	0.00E+00	0.00E+00	1.90E-22	5.85E-01
PBX3	0.00E+00	1.35E-01	1.53E-01	2.64E-01	0.00E+00	2.57E-01	1.88E-01
PITX1	0.00E+00	5.18E-01	0.00E+00	0.00E+00	1.05E-01	3.72E-01	0.00E+00
PITX2	0.00E+00	5.67E-01	0.00E+00	0.00E+00	0.00E+00	4.28E-01	0.00E+00
PKNOX1	0.00E+00	8.20E-02	2.79E-01	0.00E+00	1.94E-01	1.25E-01	3.17E-01
PLAGL1	3.84E-32	0.00E+00	0.00E+00	4.07E-01	0.00E+00	5.79E-01	4.46E-03
POU2F1	1.94E-01	1.86E-62	9.03E-02	0.00E+00	4.37E-01	0.00E+00	2.73E-01
POU2F2	0.00E+00	0.00E+00	0.00E+00	9.93E-01	0.00E+00	0.00E+00	0.00E+00
POU2F3	0.00E+00	0.00E+00	0.00E+00	9.92E-01	0.00E+00	0.00E+00	0.00E+00
POU3F1	0.00E+00	0.00E+00	0.00E+00	9.93E-01	0.00E+00	0.00E+00	0.00E+00
POU3F4	0.00E+00	0.00E+00	9.91E-01	0.00E+00	2.01E-03	0.00E+00	0.00E+00
POU4F1	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
POU5F1	0.00E+00	0.00E+00	5.29E-01	0.00E+00	0.00E+00	0.00E+00	4.41E-01
POU6F1	4.86E-01	3.79E-01	0.00E+00	0.00E+00	1.31E-01	0.00E+00	1.80E-05
POU6F2	7.97E-01	2.66E-109	8.57E-02	0.00E+00	1.10E-01	0.00E+00	0.00E+00
PPARA	0.00E+00	0.00E+00	8.36E-02	7.32E-01	0.00E+00	4.93E-03	1.70E-01
PPARD	0.00E+00	7.34E-02	0.00E+00	5.47E-01	0.00E+00	3.67E-01	5.91E-03
PPARG	0.00E+00	1.10E-01	0.00E+00	4.13E-01	0.00E+00	4.69E-01	2.94E-03
PRDM1	8.91E-01	0.00E+00	0.00E+00	0.00E+00	1.03E-01	0.00E+00	0.00E+00
PRDM14	0.00E+00	0.00E+00	2.83E-01	0.00E+00	0.00E+00	0.00E+00	7.00E-01
PRRX1	2.47E-23	4.83E-01	0.00E+00	2.95E-01	0.00E+00	2.18E-01	0.00E+00
PRRX2	5.83E-22	5.12E-01	0.00E+00	2.15E-01	0.00E+00	2.70E-01	0.00E+00
RARA	0.00E+00	3.46E-02	2.72E-01	0.00E+00	0.00E+00	1.47E-01	5.42E-01
RARB	0.00E+00	2.13E-01	5.49E-108	6.69E-247	0.00E+00	7.79E-01	0.00E+00
RARG	0.00E+00	4.19E-02	2.39E-01	1.67E-01	0.00E+00	1.78E-01	3.72E-01
REL	1.81E-01	0.00E+00	2.20E-01	0.00E+00	2.37E-01	0.00E+00	3.56E-01
RELA	1.75E-01	4.79E-02	0.00E+00	3.59E-01	2.47E-01	1.62E-01	3.69E-03
REST	0.00E+00	1.36E-02	2.53E-01	2.68E-01	0.00E+00	9.77E-02	3.65E-01
RFX1	2.31E-01	0.00E+00	1.79E-01	0.00E+00	2.31E-01	0.00E+00	3.55E-01
RFX2	1.81E-01	1.62E-01	0.00E+00	0.00E+00	1.75E-01	4.72E-01	2.29E-30
RFX3	3.86E-02	1.64E-02	7.58E-02	5.85E-01	3.51E-02	5.41E-02	1.84E-01
RFX4	0.00E+00	0.00E+00	3.44E-01	0.00E+00	0.00E+00	0.00E+00	6.47E-01
RFX5	0.00E+00	1.81E-80	2.32E-01	4.79E-01	8.33E-17	0.00E+00	2.84E-01
RFX7	1.26E-01	2.71E-02	2.60E-01	0.00E+00	2.71E-01	4.11E-02	2.73E-01
RORA	0.00E+00	8.18E-02	1.04E-01	3.05E-01	0.00E+00	3.45E-01	1.60E-01
RREB1	2.08E-01	0.00E+00	6.82E-02	2.13E-01	1.80E-01	1.15E-01	2.05E-01
RUNX1	2.85E-01	2.02E-01	0.00E+00	0.00E+00	2.55E-01	2.55E-01	0.00E+00
RUNX2	2.65E-01	2.03E-01	0.00E+00	0.00E+00	2.71E-01	2.59E-01	2.57E-33
RUNX3	0.00E+00	0.00E+00	0.00E+00	9.88E-01	0.00E+00	0.00E+00	0.00E+00
RXRA	3.75E-02	3.85E-01	0.00E+00	0.00E+00	2.45E-02	5.48E-01	0.00E+00
RXRB	5.84E-02	1.98E-01	0.00E+00	3.56E-01	7.21E-02	3.13E-01	0.00E+00
SHOX2	7.87E-02	6.01E-01	0.00E+00	0.00E+00	6.29E-02	2.52E-01	0.00E+00
SIX1	2.30E-25	5.57E-01	0.00E+00	0.00E+00	0.00E+00	4.33E-01	1.18E-85
SIX2	3.13E-28	5.46E-01	0.00E+00	0.00E+00	0.00E+00	4.44E-01	4.44E-84
SIX3	0.00E+00	0.00E+00	4.81E-01	0.00E+00	0.00E+00	0.00E+00	5.08E-01
SIX4	6.93E-28	5.47E-01	0.00E+00	0.00E+00	0.00E+00	4.43E-01	2.04E-84
SMAD2	0.00E+00	6.09E-02	2.19E-01	1.01E-01	7.95E-02	2.15E-01	3.22E-01
SMAD3	0.00E+00	7.82E-02	5.88E-147	4.11E-01	1.58E-01	3.47E-01	2.53E-03
SMAD4	0.00E+00	1.11E-01	0.00E+00	2.69E-01	2.30E-01	3.85E-01	1.19E-03
SNAI2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
SOX11	0.00E+00	0.00E+00	9.91E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
SOX12	5.98E-02	1.51E-01	5.75E-01	0.00E+00	9.13E-02	1.20E-01	0.00E+00
SOX13	9.30E-132	4.16E-02	9.52E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
SOX18	0.00E+00	4.41E-42	0.00E+00	9.91E-01	0.00E+00	0.00E+00	0.00E+00
SOX21	0.00E+00	0.00E+00	9.92E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
SOX3	0.00E+00	5.72E-01	1.27E-01	0.00E+00	0.00E+00	2.95E-01	0.00E+00
SOX4	0.00E+00	0.00E+00	9.93E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
SOX5	2.87E-01	3.04E-49	5.33E-02	3.57E-01	2.99E-01	0.00E+00	0.00E+00
SOX6	5.40E-01	7.80E-59	0.00E+00	0.00E+00	4.55E-01	0.00E+00	0.00E+00
SOX8	0.00E+00	0.00E+00	9.92E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
SOX9	0.00E+00	8.59E-41	0.00E+00	9.91E-01	0.00E+00	0.00E+00	0.00E+00
SP1	1.16E-01	1.87E-02	2.20E-02	1.55E-01	3.85E-01	2.60E-01	4.06E-02
SP2	1.68E-01	0.00E+00	1.41E-01	1.79E-234	4.64E-01	1.81E-58	2.23E-01
SP3	0.00E+00	0.00E+00	2.03E-01	9.05E-02	3.42E-01	5.13E-02	3.10E-01
SP4	9.56E-02	0.00E+00	1.84E-01	2.12E-01	2.24E-01	1.59E-20	2.83E-01
SPI1	5.31E-01	0.00E+00	0.00E+00	0.00E+00	4.64E-01	1.31E-72	0.00E+00
SPIB	0.00E+00	0.00E+00	0.00E+00	9.89E-01	0.00E+00	0.00E+00	0.00E+00
SREBF1	1.61E-01	0.00E+00	9.39E-02	1.36E-01	2.90E-01	0.00E+00	3.12E-01
SREBF2	1.87E-01	0.00E+00	5.09E-02	2.32E-01	3.38E-01	0.00E+00	1.85E-01
SRF	0.00E+00	0.00E+00	2.27E-01	3.64E-257	2.33E-01	7.47E-02	4.62E-01
STAT1	5.08E-26	4.19E-01	0.00E+00	3.32E-01	0.00E+00	2.44E-01	6.86E-18
STAT2	1.17E-01	5.69E-01	0.00E+00	6.85E-02	3.95E-02	1.93E-01	1.87E-22
STAT3	0.00E+00	1.66E-01	0.00E+00	5.35E-01	1.51E-01	1.36E-01	2.68E-03
STAT4	0.00E+00	3.68E-01	0.00E+00	3.31E-01	0.00E+00	2.95E-01	2.09E-04
STAT5A	5.54E-01	9.72E-60	0.00E+00	2.41E-01	1.96E-01	0.00E+00	3.97E-04
STAT5B	7.03E-01	3.58E-84	0.00E+00	3.77E-02	2.49E-01	0.00E+00	6.48E-05
STAT6	8.77E-26	6.99E-01	0.00E+00	0.00E+00	0.00E+00	2.89E-01	2.28E-65
TAL1	7.49E-01	0.00E+00	0.00E+00	0.00E+00	2.45E-01	0.00E+00	0.00E+00
TBP	2.44E-01	7.48E-02	0.00E+00	0.00E+00	4.36E-01	2.41E-01	1.97E-22
TBX1	3.44E-01	1.34E-51	0.00E+00	0.00E+00	6.50E-01	0.00E+00	0.00E+00
TBX15	0.00E+00	3.98E-01	9.55E-102	0.00E+00	0.00E+00	5.96E-01	0.00E+00
TBX18	0.00E+00	1.87E-01	6.85E-119	0.00E+00	5.49E-01	2.58E-01	0.00E+00
TBX19	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TBX2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TBX3	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TBX5	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCF12	3.95E-02	1.51E-01	3.73E-01	0.00E+00	1.03E-01	3.30E-01	0.00E+00
TCF21	0.00E+00	0.00E+00	4.07E-01	0.00E+00	0.00E+00	5.82E-28	5.87E-01
TCF3	2.10E-02	7.55E-02	2.94E-01	0.00E+00	6.61E-02	1.91E-01	3.50E-01
TCF4	3.14E-23	1.75E-01	4.35E-01	0.00E+00	0.00E+00	3.86E-01	0.00E+00
TCF7	0.00E+00	0.00E+00	2.68E-01	7.24E-01	0.00E+00	0.00E+00	0.00E+00
TCF7L1	0.00E+00	0.00E+00	9.87E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCF7L2	1.62E-03	3.13E-01	6.78E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TCFL5	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TEAD1	4.68E-02	3.36E-01	8.36E-02	0.00E+00	8.04E-02	4.49E-01	0.00E+00
TEAD2	0.00E+00	1.56E-01	5.72E-01	0.00E+00	0.00E+00	2.68E-01	0.00E+00
TEAD3	1.52E-01	2.10E-01	8.74E-115	0.00E+00	3.23E-01	3.12E-01	0.00E+00
TEAD4	0.00E+00	0.00E+00	9.93E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TEF	1.88E-01	3.93E-01	1.21E-02	0.00E+00	1.69E-01	2.35E-01	0.00E+00
TFAP2A	3.97E-01	0.00E+00	0.00E+00	3.90E-207	2.44E-01	3.42E-01	1.18E-22
TFAP2C	1.91E-03	0.00E+00	0.00E+00	8.31E-01	0.00E+00	1.54E-01	0.00E+00
TFAP2E	1.14E-01	0.00E+00	0.00E+00	0.00E+00	4.33E-01	4.48E-01	3.59E-26
TFAP4	0.00E+00	1.22E-01	1.30E-01	0.00E+00	0.00E+00	5.38E-01	2.05E-01
TFCP2	0.00E+00	5.53E-02	2.38E-01	0.00E+00	0.00E+00	3.49E-01	3.55E-01
TFCP2L1	0.00E+00	0.00E+00	2.62E-01	0.00E+00	0.00E+00	0.00E+00	7.21E-01
TFE3	0.00E+00	3.22E-02	2.69E-01	0.00E+00	0.00E+00	1.53E-01	5.42E-01
TFEB	0.00E+00	1.09E-02	0.00E+00	8.94E-01	0.00E+00	7.04E-02	1.65E-02
TGIF1	0.00E+00	5.72E-25	3.16E-02	0.00E+00	9.18E-01	0.00E+00	4.02E-02
THAP1	0.00E+00	3.25E-02	8.36E-141	0.00E+00	7.51E-01	2.06E-01	1.56E-09
THRA	1.65E-42	5.93E-02	1.91E-01	0.00E+00	0.00E+00	3.00E-01	4.45E-01
THRB	2.47E-01	5.84E-02	0.00E+00	0.00E+00	3.10E-01	3.78E-01	1.31E-21
TOX	1.00E-45	2.03E-01	2.61E-01	0.00E+00	0.00E+00	1.23E-01	4.01E-01
TOX2	0.00E+00	1.54E-20	0.00E+00	9.59E-01	0.00E+00	0.00E+00	1.10E-04
TOX3	1.63E-44	2.08E-01	2.56E-01	0.00E+00	0.00E+00	1.26E-01	3.98E-01
TOX4	1.71E-23	3.65E-01	0.00E+00	3.99E-01	0.00E+00	2.18E-01	8.63E-09
TP53	0.00E+00	1.69E-42	2.05E-02	3.09E-01	6.22E-01	0.00E+00	4.12E-02
TP63	5.72E-01	0.00E+00	0.00E+00	0.00E+00	4.15E-01	0.00E+00	1.44E-09
TP73	0.00E+00	0.00E+00	0.00E+00	9.61E-01	0.00E+00	0.00E+00	6.31E-03
TRIM28	4.28E-01	0.00E+00	1.02E-01	2.23E-01	1.36E-01	0.00E+00	1.08E-01
TWIST1	2.41E-25	7.65E-01	0.00E+00	0.00E+00	0.00E+00	2.24E-01	3.69E-67
TWIST2	1.35E-21	7.66E-01	0.00E+00	0.00E+00	0.00E+00	2.21E-01	4.59E-65
USF1	0.00E+00	8.71E-02	0.00E+00	0.00E+00	4.75E-01	4.33E-01	6.74E-18
USF2	0.00E+00	2.27E-80	1.69E-01	2.51E-01	1.80E-01	0.00E+00	3.97E-01
VDR	0.00E+00	7.09E-02	0.00E+00	4.46E-01	0.00E+00	4.75E-01	3.89E-03
XBP1	4.30E-01	3.05E-01	6.96E-03	1.06E-01	0.00E+00	1.10E-01	3.55E-02
YY1	0.00E+00	1.07E-02	2.56E-01	3.25E-02	2.34E-01	5.99E-02	4.04E-01
ZBTB3	1.59E-01	0.00E+00	3.12E-01	0.00E+00	1.35E-01	0.00E+00	3.87E-01
ZBTB33	0.00E+00	0.00E+00	1.99E-01	1.61E-01	2.62E-01	1.68E-18	3.75E-01
ZBTB49	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
ZBTB6	0.00E+00	0.00E+00	3.16E-01	0.00E+00	0.00E+00	0.00E+00	6.77E-01
ZBTB7A	0.00E+00	1.39E-05	0.00E+00	0.00E+00	0.00E+00	9.92E-01	7.85E-85
ZBTB7B	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
ZBTB7C	0.00E+00	0.00E+00	1.67E-01	0.00E+00	0.00E+00	0.00E+00	8.18E-01
ZEB1	0.00E+00	1.70E-01	2.27E-94	4.02E-01	0.00E+00	4.24E-01	0.00E+00
ZFP42	0.00E+00	0.00E+00	3.74E-01	0.00E+00	4.16E-02	0.00E+00	5.80E-01
ZFX	4.15E-03	1.03E-08	0.00E+00	4.68E-01	0.00E+00	5.18E-01	5.15E-03
ZIC1	1.34E-01	4.26E-04	0.00E+00	0.00E+00	2.66E-01	5.94E-01	2.30E-42
ZIC2	0.00E+00	0.00E+00	1.65E-01	0.00E+00	1.60E-96	0.00E+00	8.25E-01
ZIC3	0.00E+00	0.00E+00	1.26E-01	0.00E+00	7.15E-100	0.00E+00	8.61E-01
ZNF281	4.96E-02	0.00E+00	1.53E-01	0.00E+00	1.63E-01	2.78E-01	3.51E-01
ZNF35	2.92E-31	8.30E-01	0.00E+00	0.00E+00	0.00E+00	1.61E-01	4.18E-51
ZNF354C	0.00E+00	1.95E-01	5.49E-109	0.00E+00	0.00E+00	7.96E-01	0.00E+00
ZNF415	1.76E-30	2.18E-06	0.00E+00	0.00E+00	0.00E+00	9.57E-01	3.07E-02
ZNF423	0.00E+00	0.00E+00	2.59E-01	0.00E+00	0.00E+00	0.00E+00	7.16E-01
ZNF691	5.72E-01	0.00E+00	0.00E+00	0.00E+00	4.15E-01	0.00E+00	2.88E-04
ZNF711	0.00E+00	0.00E+00	2.33E-01	3.19E-01	3.04E-02	6.35E-04	4.14E-01
ZNF740	0.00E+00	0.00E+00	0.00E+00	4.08E-01	4.16E-01	1.62E-01	8.78E-03
ZSCAN22	5.40E-01	8.88E-02	0.00E+00	0.00E+00	2.52E-01	1.06E-01	6.04E-11
